KL Loss,QF Loss,VF Loss,Policy Loss,Preference Loss,AverageTrainReturn_all_train_tasks,ulam_AverageReturn_all_test_tasks,greedy_AverageReturn_all_test_tasks,random_AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.029258577,25.978243,16.47134,-4.023151,6.9262285,938.2359188044686,679.7696271943398,258.7225944391837,269.23315061569997,20000,100000,0,39.52661549999999,0,449.0046666999999,488.5312821999999,556.3258619,0
0.11759817,135.30138,34.041954,-371.03522,0.17498696,663.9708942945481,522.9603788307465,540.2816883038174,345.64980717064236,40000,200000,0,39.63196469999991,67.80523320000003,449.6641433999996,557.1013412999996,1114.5328347999994,1
0.19545811,370.87314,111.47875,-1305.8577,0.32430172,899.4860545385828,1046.954956492807,818.1899446291823,827.224339641311,60000,300000,0,38.49078209999993,68.91126110000005,441.35803750000014,548.7600807000001,1664.5826564,2
0.20261231,344.92126,234.7307,-1445.689,0.19642651,1322.3354117114654,1172.574861999663,646.0469429605944,915.1212417319773,80000,400000,0,39.06493690000025,70.19099729999994,453.3658986000012,562.6218328000014,2227.679712800001,3
0.19770508,236.03116,111.76413,-1213.9932,5.215412e-06,1197.3474989851215,952.0354906671079,-46.100647609599214,946.5233317796061,100000,500000,0,37.37400170000001,70.66671559999986,447.5826435999993,555.6233608999992,2780.415816600001,4
0.23491554,383.47754,544.65955,-1873.5503,0.0,1146.6722766520215,751.3800584379621,464.7582951939046,708.3182529068162,120000,600000,0,40.76187439999967,67.7795185,445.6291354000009,554.1705283000006,3337.4260025000017,5
0.2615015,682.67126,207.26645,-2261.6094,0.000103863065,1298.0556299912564,1040.7750381806243,758.5757797556873,1037.3617622722777,140000,700000,0,37.973849599999994,70.61875369999962,435.06914390000156,543.6617472000012,3877.8344408000044,6
0.27832115,455.92975,543.7932,-2373.9536,0.043295227,1487.1562065069024,1347.971606930968,1060.315018634866,1062.6249843818382,160000,800000,0,38.63530499999979,67.3654333999998,436.5735215999998,542.5742599999994,4423.915797400004,7
0.26302326,363.5516,154.0781,-2159.629,0.0015310391,1311.953963104338,1424.028958198398,835.8137823073941,808.818500280835,180000,900000,0,39.399149099999704,70.8724628,454.80943509999815,565.0810469999979,4982.545136400002,8
0.27220735,355.32492,167.79843,-2236.031,0.018696487,1463.616882707517,1154.361438648893,847.0372528154271,1158.7571206423768,200000,1000000,0,37.71578920000047,64.42077580000023,447.5514876999987,549.6880526999994,5537.001594100002,9
0.27902153,417.4296,559.6315,-2381.9473,1.4901161e-07,1454.4511761517012,1479.089684265467,881.381665560303,564.0436720251805,220000,1100000,0,38.77963319999981,69.18884030000027,467.5060042999967,575.4744777999967,6114.007169099999,10
0.30472443,418.0375,123.05148,-2623.7769,0.38449046,1498.804381449827,1506.4928340457382,1179.2096826230777,1193.7926823692123,240000,1200000,0,40.57491949999985,70.7210212,445.8525868000006,557.1485275000005,6668.4465010999975,11
0.31306037,759.0735,1268.0012,-2754.5518,0.0814414,1629.5255517797764,1550.0222355500457,1564.292385501013,608.0191371884268,260000,1300000,0,34.51004009999997,68.01095720000012,437.2536897000027,539.7746870000028,7211.143947300002,12
0.33704865,407.17773,174.354,-2985.3127,0.034103796,1520.8306255755817,1574.6569014796232,610.7494888680476,918.0327829193852,280000,1400000,0,37.296946899999966,70.93384240000069,436.40857940000024,544.6393687000009,7750.5922555000025,13
0.32508513,372.36536,271.64594,-2916.9202,4.0927176,1591.6389533099878,1241.5895249792538,931.4467771764475,620.8781644883771,300000,1500000,0,38.69972890000099,65.74316120000003,449.6399138999968,554.0828039999979,8307.689733700001,14
0.32721052,456.4397,312.28693,-2993.5044,1.7136394e-05,1619.7416307635222,1617.971894989573,964.6844921509853,618.819376467229,320000,1600000,0,37.440241199999946,68.75727949999964,461.6059468999938,567.8034675999934,8877.608088799994,15
0.33314812,315.2495,176.46217,-3070.9758,0.0,1677.1734017248737,1611.1800788360893,959.8167121590079,952.7346966042812,340000,1700000,0,39.59906930000034,70.87237970000024,453.0392410000004,563.510690000001,9441.474229799993,16
0.3425891,453.4328,147.66919,-3112.902,0.00016168282,1602.4266475251848,1318.1428973162892,648.9976131076705,1632.3094941397173,360000,1800000,0,38.131357399999615,71.22801889999937,448.5133804999987,557.8727567999977,9995.144089699992,17
0.3734569,435.418,243.2158,-3332.9583,0.0,1685.6470111962797,1707.020983026495,638.0739562128894,1341.8725368944865,380000,1900000,0,39.989199100000405,67.02518799999962,432.72255540000333,539.7369425000034,10537.424072299993,18
0.35994378,440.0827,137.18463,-3214.452,0.014090445,1702.0389115273701,1693.2776010428825,662.2513372199883,1345.8810131614391,400000,2000000,0,38.65610920000108,69.56816299999991,452.5194446000005,560.7437168000015,11095.318548099996,19
0.39275286,805.6684,191.75165,-3442.8706,0.35995126,1705.9276932886673,1778.7767860704832,656.2522396680091,1046.3068947918,420000,2100000,0,38.120482000000266,66.71878809999907,447.7314352000103,552.5707053000096,11650.952469100008,20
0.39932033,570.5944,342.85754,-3534.6675,5.215412e-06,1820.6618227492072,-44.50455867603603,676.9907550328917,1045.5553012348012,440000,2200000,0,39.0831795999984,69.78196360000038,455.80089570000564,564.6660389000044,12217.982326500012,21
0.382865,427.61255,117.94052,-3542.6206,0.1767409,1790.3401753807047,1437.9254122955444,709.1359801128887,695.9928297542249,460000,2300000,0,38.77430169999934,72.14604229999895,446.5750797000037,557.495423700002,12775.953817300015,22
0.38761356,453.93384,169.7121,-3591.5679,0.0074626016,1779.080559437346,1053.627350220448,1086.2724664744514,1423.2396787447337,480000,2400000,0,36.043755199998486,72.62194369999997,449.2055967999968,557.8712956999952,13332.331138200008,23
0.3919706,854.532,741.4236,-3717.8643,0.031564925,1863.668163678221,1880.406392300775,1887.0461697557596,711.7478703977838,500000,2500000,0,37.31934200000069,71.12818940000034,447.46507870000823,555.9126101000093,13888.497844200014,24
0.36951306,615.1748,224.78381,-3690.0708,0.0,1863.918749760784,1484.025374134959,723.6576748011745,1471.1159142819795,520000,2600000,0,39.059911100001045,71.38208880000093,454.19863210000767,564.6406320000096,14453.070213100027,25
0.37304637,488.54645,512.9966,-3762.7554,0.00056287984,1927.5043368839465,1539.6340687261227,1522.490969583865,737.2188555779301,540000,2700000,0,37.52033490000031,71.3137252000015,450.60555049999493,559.4396105999967,15013.292102900026,26
